,precision,recall,f1-score,support
barbell biceps curl,1.0,1.0,1.0,8.0
bench press,0.875,0.875,0.875,8.0
chest fly machine,0.8571428571428571,1.0,0.923076923076923,6.0
deadlift,1.0,0.8,0.888888888888889,5.0
decline bench press,1.0,0.6666666666666666,0.8,3.0
hammer curl,0.75,0.6,0.6666666666666665,5.0
hip thrust,1.0,0.5,0.6666666666666666,4.0
incline bench press,0.6666666666666666,0.8571428571428571,0.75,7.0
lat pulldown,1.0,1.0,1.0,7.0
lateral raises,1.0,0.8571428571428571,0.923076923076923,7.0
leg extension,1.0,1.0,1.0,5.0
leg raises,0.75,0.75,0.75,4.0
plank,0.75,1.0,0.8571428571428571,3.0
pull up,1.0,0.8,0.888888888888889,5.0
push up,1.0,0.8,0.888888888888889,5.0
romanian deadlift,0.6666666666666666,1.0,0.8,2.0
russian twist,1.0,1.0,1.0,3.0
shoulder press,1.0,0.75,0.8571428571428571,4.0
squat,1.0,1.0,1.0,3.0
t bar row,0.6666666666666666,1.0,0.8,4.0
tricep dips,0.8,1.0,0.888888888888889,4.0
tricep pushdown,0.9,1.0,0.9473684210526316,9.0
accuracy,0.8828828828828829,0.8828828828828829,0.8828828828828829,0.8828828828828829
macro avg,0.8946428571428572,0.8752705627705627,0.8714407668355036,111.0
weighted avg,0.9018876018876019,0.8828828828828829,0.881668510615879,111.0
