,barbell biceps curl,bench press,chest fly machine,deadlift,decline bench press,hammer curl,hip thrust,incline bench press,lat pulldown,lateral raises,leg extension,leg raises,plank,pull up,push up,romanian deadlift,russian twist,shoulder press,squat,t bar row,tricep dips,tricep pushdown
barbell biceps curl,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bench press,0,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chest fly machine,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deadlift,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decline bench press,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hammer curl,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hip thrust,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
incline bench press,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lat pulldown,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
lateral raises,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
leg extension,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
leg raises,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
plank,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
pull up,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0
push up,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
romanian deadlift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
russian twist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
shoulder press,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1
squat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
t bar row,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
tricep dips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
tricep pushdown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
