class,clip_id,split,n_frames_orig,frame_idx_min,frame_idx_max,token_type,f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,label_id
barbell biceps curl,barbell biceps curl|g1,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,data/barbell biceps curl/barbell biceps curl_g1.jpg,0
barbell biceps curl,barbell biceps curl|g10,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,data/barbell biceps curl/barbell biceps curl_g10.jpg,0
barbell biceps curl,barbell biceps curl|g11,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,data/barbell biceps curl/barbell biceps curl_g11.jpg,0
barbell biceps curl,barbell biceps curl|g12,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,data/barbell biceps curl/barbell biceps curl_g12.jpg,0
barbell biceps curl,barbell biceps curl|g13,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,data/barbell biceps curl/barbell biceps curl_g13.jpg,0
barbell biceps curl,barbell biceps curl|g14,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,data/barbell biceps curl/barbell biceps curl_g14.jpg,0
barbell biceps curl,barbell biceps curl|g15,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,data/barbell biceps curl/barbell biceps curl_g15.jpg,0
barbell biceps curl,barbell biceps curl|g16,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,data/barbell biceps curl/barbell biceps curl_g16.jpg,0
barbell biceps curl,barbell biceps curl|g17,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,data/barbell biceps curl/barbell biceps curl_g17.jpg,0
barbell biceps curl,barbell biceps curl|g18,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,data/barbell biceps curl/barbell biceps curl_g18.jpg,0
